mp,conjunto,codigo,quantidade_alocada,tamanho_alocado_item,ordem_global,ordem_grupo,perda_materia_prima
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,1,1230.0,243,10,2740.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,237,4,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,236,3,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,235,2,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,234,1,40.0
"('134040 - TUBO QDRINOX AISI 304 30 X 3.00MM',)",028762 - CONJUNTO NIVELADOR - ELEV MENOR / ELEV MAIOR / SING / EST HORIZ - SELECIONADORA DE FRUTAS,27091,12,6000.0,248,1,0.0
"('134040 - TUBO QDRINOX AISI 304 30 X 3.00MM',)",028762 - CONJUNTO NIVELADOR - ELEV MENOR / ELEV MAIOR / SING / EST HORIZ - SELECIONADORA DE FRUTAS,27091,6,3000.0,249,2,3000.0
"('112896 - ACO RED INOX 304 DE 2""',)",028796 - FECHAM ANTERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,27093,1,1400.0,216,1,40.0
"('112896 - ACO RED INOX 304 DE 2""',)",028796 - FECHAM ANTERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,27093,2,2800.0,217,2,3200.0
"('134042 - TUBO QDRINOX AISI 304 50 X 5.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27095,4,4896.0,251,2,1104.0
"('134042 - TUBO QDRINOX AISI 304 50 X 5.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27095,1,1224.0,252,3,4776.0
"('134042 - TUBO QDRINOX AISI 304 50 X 5.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27095,4,4896.0,250,1,1104.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,254,2,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,282,30,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,253,1,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,257,5,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,256,4,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,255,3,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,259,7,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,284,32,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,260,8,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,265,13,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,285,33,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,258,6,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,262,10,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,283,31,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,263,11,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,264,12,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,261,9,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,278,26,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,280,28,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,281,29,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,276,24,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,275,23,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,274,22,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,272,20,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,273,21,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,277,25,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,266,14,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,269,17,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,267,15,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,279,27,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,270,18,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,268,16,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,271,19,560.0
"('120010 - TARUGO NYLON 110 X 1000MM (NYLON 6.0)',)",028866 - CONJUNTO TRANSMISSÃO - ELEV MENOR - SELECIONADORA DE FRUTAS,27098,133,5985.0,218,1,15.0
"('120010 - TARUGO NYLON 110 X 1000MM (NYLON 6.0)',)",028866 - CONJUNTO TRANSMISSÃO - ELEV MENOR - SELECIONADORA DE FRUTAS,27098,64,2880.0,220,3,3120.0
"('120010 - TARUGO NYLON 110 X 1000MM (NYLON 6.0)',)",028866 - CONJUNTO TRANSMISSÃO - ELEV MENOR - SELECIONADORA DE FRUTAS,27098,133,5985.0,219,2,15.0
"('110401 - ACO LAMINADO RED 2.3/4 1020',)",027781 - RODA DENTADA 14 DENTES - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27783,12,336.0,192,1,5664.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28116,2,3500.0,235,2,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28116,2,3500.0,234,1,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28116,2,3500.0,238,5,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28116,2,3500.0,239,6,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28116,2,3500.0,236,3,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28116,2,3500.0,237,4,40.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28118,3,3789.0,247,4,916.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28118,3,3789.0,246,3,26.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28119,6,5658.0,244,1,2.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28120,3,1845.0,246,3,26.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28120,2,1230.0,245,2,10.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28120,1,615.0,247,4,916.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28121,3,4350.0,240,7,50.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28121,3,4350.0,241,8,50.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28122,2,1600.0,241,8,50.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28122,1,800.0,243,10,2740.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28122,2,1600.0,240,7,50.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28122,1,800.0,242,9,280.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28123,1,1230.0,243,10,2740.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28123,2,2460.0,239,6,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28123,2,2460.0,238,5,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,28123,4,4920.0,242,9,280.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28127,2,680.0,247,4,916.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28127,1,340.0,246,3,26.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28127,14,4760.0,245,2,10.0
"('134039 - TUBO QDRINOX AISI 304 40 X 3.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28127,1,340.0,244,1,2.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,233,12,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,224,3,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,222,1,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,223,2,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,226,5,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,232,11,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,229,8,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,231,10,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,230,9,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,225,4,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,227,6,2120.0
"('126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,28130,1,3880.0,228,7,2120.0
"('112896 - ACO RED INOX 304 DE 2""',)",028866 - CONJUNTO TRANSMISSÃO - ELEV MENOR - SELECIONADORA DE FRUTAS,28420,3,4560.0,216,1,40.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,209,3,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,208,2,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,211,5,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,207,1,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,213,7,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,214,8,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,212,6,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,60,4980.0,215,9,1020.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,210,4,24.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,11,528.0,206,6,5472.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,205,5,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,204,4,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,203,3,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,202,2,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,201,1,0.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,196,4,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,193,1,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,195,3,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,198,6,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,150,4800.0,199,7,1200.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,197,5,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,194,2,16.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,288,3,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,289,4,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,290,5,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,286,1,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,287,2,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,72,1800.0,291,6,4200.0
"('112849 - AÇO QDRINOX 304 DE 1/2""',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28510,12,900.0,200,1,5100.0
"('124154 - AÇO TREFILADO QDR 5/16"" 1010/ 1020',)",622122 - ELEV MENOR DE ROLOS,28511,3,210.0,221,1,5790.0
